time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-11-10 11:30:00-05:00,MLTrader,4cbda74cb7fe4b779e9a942e2b71d43b,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.59000015258789,14.0,0.0
2021-11-10 12:30:00-05:00,MLTrader,56a1b383e8f14ea480d50c1b5a83f93f,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-10 12:30:00-05:00,MLTrader,56a1b383e8f14ea480d50c1b5a83f93f,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.59000015258789,12.0,0.0
2021-11-10 13:30:00-05:00,MLTrader,247cc21195da4e62a0a529ef9d4b9d0c,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-10 13:30:00-05:00,MLTrader,247cc21195da4e62a0a529ef9d4b9d0c,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.59000015258789,9.0,0.0
2021-11-10 14:30:00-05:00,MLTrader,198fe1ea25e04faba7dda0d01d5eee45,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-10 14:30:00-05:00,MLTrader,198fe1ea25e04faba7dda0d01d5eee45,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.59000015258789,7.0,0.0
2021-11-10 15:30:00-05:00,MLTrader,a5caa4f2f6aa45a38845ed62e099397b,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-10 15:30:00-05:00,MLTrader,a5caa4f2f6aa45a38845ed62e099397b,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.59000015258789,6.0,0.0
2021-11-16 09:30:00-05:00,MLTrader,57ae8d999463406f84d5b3e0d40acfaa,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-16 09:30:00-05:00,MLTrader,57ae8d999463406f84d5b3e0d40acfaa,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.97999954223633,5.0,0.0
2021-11-16 10:30:00-05:00,MLTrader,2ac6a2098ad345b09e22804cb50be436,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-16 10:30:00-05:00,MLTrader,2ac6a2098ad345b09e22804cb50be436,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.97999954223633,4.0,0.0
2021-11-16 11:30:00-05:00,MLTrader,0e55d3b9de5e4552b2c7d691b6328fac,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-16 11:30:00-05:00,MLTrader,0e55d3b9de5e4552b2c7d691b6328fac,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.97999954223633,3.0,0.0
2021-11-16 12:30:00-05:00,MLTrader,648482c7d48e4df8bb0fcef1561070ec,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-16 12:30:00-05:00,MLTrader,648482c7d48e4df8bb0fcef1561070ec,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.97999954223633,2.0,0.0
2021-11-16 13:30:00-05:00,MLTrader,ebaede8c36234bf3959750971ec1a7cc,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-16 13:30:00-05:00,MLTrader,ebaede8c36234bf3959750971ec1a7cc,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.97999954223633,2.0,0.0
2021-11-16 14:30:00-05:00,MLTrader,db8b56f219cc4b95aa90c06633c194ac,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-16 14:30:00-05:00,MLTrader,db8b56f219cc4b95aa90c06633c194ac,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.97999954223633,2.0,0.0
2021-11-16 15:30:00-05:00,MLTrader,e522de22be6f4b1ba0b400d0af5bd284,SPHD,buy,market,new,1,gtc,0.0,1,stock,,,
2021-11-16 15:30:00-05:00,MLTrader,e522de22be6f4b1ba0b400d0af5bd284,SPHD,buy,market,fill,1,gtc,0.0,1,stock,43.97999954223633,1.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,c4499279f1644dc382158cd29d603a3b,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,4ca225d5c3ed4e4d85f64a480927340c,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.904500579833986,95.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,feec7965e8f24d3c9d870fcaff2eafd3,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,11793ca57d764873b029d75ab330f0b4,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.904500579833986,76.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,6e94cf3bd08d486d9509c78267c4aa9e,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,18c2a98d1c24471a8ba4876a2a05d9ae,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.904500579833986,61.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,dbd1e90e943141949995d78e4676dc9d,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,69be3672eae84785841a55e5613c320e,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.904500579833986,49.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,f33df0f0506c428f989640b304cbffc3,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,1a59e48f8fe0408b907c8d4008c779ed,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.904500579833986,39.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,bfb8344ee64741e4a0086b44c6ae4144,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,68fe886451224532a9b5a6605721834e,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.904500579833986,31.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,ea7491d6a8e6475292677c39be89e520,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,462a985c36b64e1e9b0657e8ec049ed9,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.904500579833986,25.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,1de9d03ee9db4ec09c43e8329a36ed5e,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,d5652d70fe3f4be284cdec13b592412c,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.78099956512451,5.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,4e23f5bfea1243bba01d8800d87e965a,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,136c531818284f3fbf6155ac16e6c4c4,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.78099956512451,4.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,a0f037efd40c4de6adf9c138502dbbe2,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,701fa63e1ba64f98ac332bb82e5828b5,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.78099956512451,3.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,b7be737d3e3943bc975bfe847a543201,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,59d23f36d4af471aaf9a411a487e9346,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.78099956512451,2.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,2dd833f89a4e402f991687b1a8a87457,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,007efabc53724c5985257b27062f765c,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.78099956512451,2.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,af509be968ae4f65af1319eb0dc09089,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,7e2646851aac41b4a9090b8ef83d0f31,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.78099956512451,2.0,0.0
2021-11-30 08:30:00-05:00,MLTrader,54ccd1eac6d0437f839a36e9fdafcfbf,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-11-30 08:30:00-05:00,MLTrader,c53b286594f5445ca0968f9d28c0b2bf,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.78099956512451,1.0,0.0
2021-12-01 08:30:00-05:00,MLTrader,19212d48083545c5a618c1782f99e6c7,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-12-01 08:30:00-05:00,MLTrader,280c4e8b05134301a0d3e67ac47dac3a,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.60999927520752,457.0,0.0
2021-12-01 08:30:00-05:00,MLTrader,1a2bdc875f4a4635a6b1b6a04e661b78,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-12-01 08:30:00-05:00,MLTrader,b1a45c79518e4ea8a7d01502a2a33b48,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.60999927520752,365.0,0.0
2021-12-01 08:30:00-05:00,MLTrader,6a7353b531f14b4b9fe7dcf8c9fd3d2e,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-12-01 08:30:00-05:00,MLTrader,910b266ff61549a2849a348d85a79fa1,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.60999927520752,292.0,0.0
2021-12-01 08:30:00-05:00,MLTrader,31762b6b9b8141a8b8235239ba5c5063,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-12-01 08:30:00-05:00,MLTrader,4217325e5db14a51938486c0ee50b481,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.60999927520752,234.0,0.0
2021-12-01 08:30:00-05:00,MLTrader,4d35dc01d8e64d73a0c1217c015d80a8,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-12-01 08:30:00-05:00,MLTrader,4d39b8f441f846db86d306bb47d9360f,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.60999927520752,187.0,0.0
2021-12-01 08:30:00-05:00,MLTrader,bf56b409b2c941a49fa916dc5b000d74,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-12-01 08:30:00-05:00,MLTrader,d9315d89e1af421a96e938301f10d0c9,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.60999927520752,150.0,0.0
2021-12-01 08:30:00-05:00,MLTrader,d6c1cc78dfe34db98d3cc42f21f33a81,SPHD,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-12-01 08:30:00-05:00,MLTrader,9bd091dca159469c9d599daca9c11f4a,SPHD,sell,stop,fill,1,day,0.0,1,stock,41.60999927520752,120.0,0.0
